#ITER     #MEDIA_BFO        #MEDIA_M
567           4677.59        4839.19
568           4677.59        4839.19
569           4677.59        4839.19
570           4677.59        4839.19
571           4677.59        4839.19
572           4677.58        4839.18
573           4677.58        4839.18
574           4677.58        4839.18
575           4677.58        4839.17
576           4677.58        4839.17
577           4677.58        4839.17
578           4677.58        4839.17
579           4677.58        4839.16
580           4677.58        4839.16
581           4677.57        4839.16
582           4677.57        4839.16
583           4677.57        4839.15
584           4677.57        4839.15
585           4677.57        4839.15
586           4677.57        4839.14
587           4677.57        4839.14
588           4677.57        4839.14
589           4677.57        4839.13
590           4677.57        4839.13
591           4677.57        4839.13
592           4677.57        4839.13
593           4677.57        4839.13
594           4677.57        4839.13
595           4677.57        4839.13
596           4677.57        4839.13
597           4677.57        4839.12
598           4677.57        4839.12
599           4677.57        4839.12
600           4677.57        4839.12
601           4677.57        4839.12
602           4677.57        4839.11
603           4677.57        4839.11
604           4677.57        4839.11
605           4677.57        4839.11
606           4677.57        4839.11
607           4677.57         4839.1
608           4677.57         4839.1
609           4677.57         4839.1
610           4677.57         4839.1
611           4677.57         4839.1
612           4677.57        4839.09
613           4677.57        4839.09
614           4677.57        4839.09
615           4677.57        4839.09
616           4677.57        4839.09
617           4677.57        4839.09
618           4677.57        4839.08
619           4677.57        4839.07
620           4677.57        4839.07
621           4677.57        4839.07
622           4677.57        4839.07
623           4677.56        4839.06
624           4677.55        4839.06
625           4677.54        4839.06
626           4677.54        4839.06
627           4677.54        4839.06
628           4677.54        4839.06
629           4677.54        4839.06
630           4677.54        4839.05
631           4677.54        4839.05
632           4677.54        4839.05
633           4677.54        4839.05
634           4677.54        4839.05
635           4677.54        4839.05
636           4677.54        4839.05
637           4677.54        4839.05
638           4677.54        4839.05
639           4677.54        4839.04
640           4677.54        4839.04
641           4677.54        4839.04
642           4677.54        4839.04
643           4677.54        4839.04
644           4677.54        4839.04
645           4677.54        4839.04
646           4677.54        4839.04
647           4677.54        4839.04
648           4677.54        4839.04
649           4677.54        4839.04
650           4677.54        4839.03
651           4677.54        4839.03
652           4677.54        4839.02
653           4677.54        4839.02
654           4677.53        4839.02
655           4677.53        4839.02
656           4677.53        4839.02
657           4677.53        4839.02
658           4677.53        4839.02
659           4677.53        4839.02
660           4677.53        4839.02
661           4677.53        4839.02
662           4677.53        4839.02
663           4677.53        4839.02
664           4677.53        4839.01
665           4677.53        4839.01
666           4677.53        4839.01
667           4677.49        4839.01
668           4677.49        4839.01
669           4677.49        4839.01
670           4677.49           4839
671           4677.49           4839
672           4677.49           4839
673           4677.49           4839
674           4677.49           4839
675           4677.48           4839
676           4677.48           4839
677           4677.48        4838.99
678           4677.48        4838.99
679           4677.48        4838.99
680           4677.48        4838.99
681           4677.48        4838.99
682           4677.48        4838.99
683           4677.48        4838.99
684           4677.48        4838.99
685           4677.48        4838.98
686           4677.48        4838.98
687           4677.48        4838.98
688           4677.48        4838.98
689           4677.48        4838.98
690           4677.47        4838.98
691           4677.47        4838.98
692           4677.47        4838.97
693           4677.45        4838.97
694           4677.45        4838.97
695           4677.45        4838.97
696           4677.45        4838.97
697           4677.45        4838.97
698           4677.45        4838.97
699           4677.45        4838.97
700           4677.45        4838.97
701           4677.45        4838.96
702           4677.45        4838.96
703           4677.44        4838.96
704           4677.44        4838.96
705           4677.44        4838.96
706           4677.44        4838.96
707           4677.44        4838.96
708           4677.44        4838.96
709           4677.44        4838.96
710           4677.44        4838.96
711           4677.44        4838.96
712           4677.42        4838.95
713           4677.42        4838.95
714           4677.42        4838.95
715           4677.42        4838.95
716           4677.42        4838.95
717           4677.42        4838.95
718           4677.42        4838.95
719           4677.42        4838.95
720           4677.42        4838.95
721           4677.42        4838.95
722           4677.42        4838.95
723           4677.42        4838.94
724           4677.42        4838.94
725           4677.42        4838.94
726           4677.42        4838.94
727           4677.42        4838.94
728           4677.38        4838.93
729           4677.38        4838.93
730           4677.38        4838.93
731           4677.38        4838.93
732           4677.38        4838.93
733           4677.38        4838.93
734           4677.38        4838.93
735           4677.38        4838.93
736           4677.38        4838.93
737           4677.38        4838.93
738           4677.38        4838.93
739           4677.38        4838.93
740           4677.38        4838.93
741           4677.38        4838.93
742           4677.38        4838.92
743           4677.38        4838.92
744           4677.38        4838.92
745           4677.38        4838.92
746           4677.38        4838.92
747           4677.38        4838.92
748           4677.38        4838.92
749           4677.38        4838.92
750           4677.38        4838.92
751           4677.38        4838.92
752           4677.38        4838.92
753           4677.38        4838.92
754           4677.38        4838.92
755           4677.38        4838.92
756           4677.38        4838.92
757           4677.38        4838.91
758           4677.38        4838.91
759           4677.38        4838.91
760           4677.38        4838.91
761           4677.38        4838.91
762           4677.38        4838.91
763           4677.38        4838.91
